timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 0.890849
1591318800000, 1, 4, 0.330179
1591322400000, 1, 4, 0.454961
1591326000000, 1, 4, 0.345018
1591329600000, 1, 4, 1.899186
1591333200000, 1, 4, 0.465495
1591336800000, 1, 4, 0.583023
1591340400000, 1, 4, 0.094989
1591344000000, 1, 4, 1.476261
1591347600000, 1, 4, 0.269256
1591351200000, 1, 4, 0.589036
1591354800000, 1, 4, 0.382759
1591358400000, 1, 4, 0.68712
1591362000000, 1, 4, 0.049544
1591365600000, 1, 4, 0.612676
1591369200000, 1, 4, 0.302433
1591372800000, 1, 4, 0.996933
1591376400000, 1, 4, 1.73253
1591380000000, 1, 4, 0.636911
1591383600000, 1, 4, 2.412976
1591387200000, 1, 4, 1.361886
1591390800000, 1, 4, 0.082695
1591394400000, 1, 4, 0.248047
1591398000000, 1, 4, 0.584861
1591401600000, 1, 4, 1.024209
