timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 3.755046
1591318800000, 1, 4, 3.236803
1591322400000, 1, 4, 1.736881
1591326000000, 1, 4, 4.734405
1591329600000, 1, 4, 0.783421
1591333200000, 1, 4, 0.773211
1591336800000, 1, 4, 0.713115
1591340400000, 1, 4, 0.701004
1591344000000, 1, 4, 0.718062
1591347600000, 1, 4, 1.298955
1591351200000, 1, 4, 0.727259
1591354800000, 1, 4, 0.716375
1591358400000, 1, 4, 0.739592
1591362000000, 1, 4, 0.685657
1591365600000, 1, 4, 0.805061
1591369200000, 1, 4, 0.73352
1591372800000, 1, 4, 0.725518
1591376400000, 1, 4, 0.716279
1591380000000, 1, 4, 0.747946
1591383600000, 1, 4, 0.722402
1591387200000, 1, 4, 0.667792
1591390800000, 1, 4, 0.737551
1591394400000, 1, 4, 0.684631
1591398000000, 1, 4, 0.712007
1591401600000, 1, 4, 0.791438
