timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 3.9009
1591318800000, 1, 4, 5.069258
1591322400000, 1, 4, 4.901138
1591326000000, 1, 4, 7.215161
1591329600000, 1, 4, 8.639961
1591333200000, 1, 4, 5.375708
1591336800000, 1, 4, 6.094552
1591340400000, 1, 4, 5.928594
1591344000000, 1, 4, 2.704273
1591347600000, 1, 4, 1.723851
1591351200000, 1, 4, 2.711337
1591354800000, 1, 4, 2.745661
1591358400000, 1, 4, 1.862875
1591362000000, 1, 4, 2.879721
1591365600000, 1, 4, 1.721784
1591369200000, 1, 4, 2.121279
1591372800000, 1, 4, 2.768051
1591376400000, 1, 4, 3.463143
1591380000000, 1, 4, 2.806619
1591383600000, 1, 4, 1.776927
1591387200000, 1, 4, 1.754074
1591390800000, 1, 4, 2.685612
1591394400000, 1, 4, 1.682722
1591398000000, 1, 4, 2.72019
1591401600000, 1, 4, 1.722028
