timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 4.750031
1591318800000, 1, 4, 10.731587
1591322400000, 1, 4, 4.836444
1591326000000, 1, 4, 4.140878
1591329600000, 1, 4, 4.837352
1591333200000, 1, 4, 3.334104
1591336800000, 1, 4, 3.253019
1591340400000, 1, 4, 7.533076
1591344000000, 1, 4, 3.654216
1591347600000, 1, 4, 4.044823
1591351200000, 1, 4, 4.782706
1591354800000, 1, 4, 3.567866
1591358400000, 1, 4, 30.635845
1591362000000, 1, 4, 3.364028
1591365600000, 1, 4, 19.357569
1591369200000, 1, 4, 27.489326
1591372800000, 1, 4, 9.020935
1591376400000, 1, 4, 2.803952
1591380000000, 1, 4, 4.392061
1591383600000, 1, 4, 5.032997
1591387200000, 1, 4, 3.179863
1591390800000, 1, 4, 3.631595
1591394400000, 1, 4, 3.159147
1591398000000, 1, 4, 3.132635
1591401600000, 1, 4, 5.069139
