timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 3.683299
1591318800000, 1, 4, 4.758177
1591322400000, 1, 4, 3.266886
1591326000000, 1, 4, 4.726542
1591329600000, 1, 4, 7.727607
1591333200000, 1, 4, 4.546577
1591336800000, 1, 4, 13.769296
1591340400000, 1, 4, 3.462784
1591344000000, 1, 4, 4.965245
1591347600000, 1, 4, 9.99535
1591351200000, 1, 4, 2.121424
1591354800000, 1, 4, 3.144043
1591358400000, 1, 4, 3.35578
1591362000000, 1, 4, 3.976992
1591365600000, 1, 4, 3.846212
1591369200000, 1, 4, 4.680701
1591372800000, 1, 4, 3.398044
1591376400000, 1, 4, 3.229096
1591380000000, 1, 4, 2.608979
1591383600000, 1, 4, 3.956749
1591387200000, 1, 4, 4.391445
1591390800000, 1, 4, 3.826988
1591394400000, 1, 4, 3.829902
1591398000000, 1, 4, 3.311022
1591401600000, 1, 4, 2.743627
