timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 5.807013
1591318800000, 1, 4, 6.05414
1591322400000, 1, 4, 4.844512
1591326000000, 1, 4, 4.702407
1591329600000, 1, 4, 4.959702
1591333200000, 1, 4, 6.199447
1591336800000, 1, 4, 2.783096
1591340400000, 1, 4, 1.761671
1591344000000, 1, 4, 1.665961
1591347600000, 1, 4, 1.757013
1591351200000, 1, 4, 1.751536
1591354800000, 1, 4, 2.676168
1591358400000, 1, 4, 1.734638
1591362000000, 1, 4, 2.689589
1591365600000, 1, 4, 1.754835
1591369200000, 1, 4, 2.776797
1591372800000, 1, 4, 1.85085
1591376400000, 1, 4, 2.828502
1591380000000, 1, 4, 1.80332
1591383600000, 1, 4, 2.733278
1591387200000, 1, 4, 2.727258
1591390800000, 1, 4, 2.756356
1591394400000, 1, 4, 2.709585
1591398000000, 1, 4, 2.971194
1591401600000, 1, 4, 1.689489
