timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 4.683919
1591318800000, 1, 4, 5.772992
1591322400000, 1, 4, 4.066747
1591326000000, 1, 4, 3.666925
1591329600000, 1, 4, 9.081695
1591333200000, 1, 4, 2.661677
1591336800000, 1, 4, 2.709176
1591340400000, 1, 4, 2.819552
1591344000000, 1, 4, 2.945177
1591347600000, 1, 4, 2.772473
1591351200000, 1, 4, 1.728701
1591354800000, 1, 4, 1.72287
1591358400000, 1, 4, 1.801972
1591362000000, 1, 4, 2.760649
1591365600000, 1, 4, 2.947857
1591369200000, 1, 4, 1.831463
1591372800000, 1, 4, 1.843107
1591376400000, 1, 4, 2.8234
1591380000000, 1, 4, 2.764723
1591383600000, 1, 4, 1.709794
1591387200000, 1, 4, 1.676498
1591390800000, 1, 4, 2.711244
1591394400000, 1, 4, 2.744246
1591398000000, 1, 4, 2.740064
1591401600000, 1, 4, 2.740475
