timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 19.97933
1591318800000, 1, 4, 4.376198
1591322400000, 1, 4, 3.288362
1591326000000, 1, 4, 8.366846
1591329600000, 1, 4, 6.937448
1591333200000, 1, 4, 6.018146
1591336800000, 1, 4, 5.850864
1591340400000, 1, 4, 4.238888
1591344000000, 1, 4, 27.532396
1591347600000, 1, 4, 8.247331
1591351200000, 1, 4, 6.598048
1591354800000, 1, 4, 3.33659
1591358400000, 1, 4, 4.115896
1591362000000, 1, 4, 4.434605
1591365600000, 1, 4, 7.458226
1591369200000, 1, 4, 5.142711
1591372800000, 1, 4, 5.117871
1591376400000, 1, 4, 4.616676
1591380000000, 1, 4, 4.086516
1591383600000, 1, 4, 5.873927
1591387200000, 1, 4, 3.414389
1591390800000, 1, 4, 3.922768
1591394400000, 1, 4, 6.741705
1591398000000, 1, 4, 4.610783
1591401600000, 1, 4, 2.788159
