timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 3.110219
1591318800000, 1, 4, 4.471969
1591322400000, 1, 4, 6.55434
1591326000000, 1, 4, 3.492957
1591329600000, 1, 4, 5.352377
1591333200000, 1, 4, 4.340839
1591336800000, 1, 4, 2.344793
1591340400000, 1, 4, 15.845933
1591344000000, 1, 4, 22.492243
1591347600000, 1, 4, 3.579951
1591351200000, 1, 4, 3.24885
1591354800000, 1, 4, 4.093063
1591358400000, 1, 4, 4.436259
1591362000000, 1, 4, 13.536751
1591365600000, 1, 4, 4.311639
1591369200000, 1, 4, 3.985305
1591372800000, 1, 4, 3.042153
1591376400000, 1, 4, 4.728062
1591380000000, 1, 4, 10.065399
1591383600000, 1, 4, 4.146227
1591387200000, 1, 4, 2.574394
1591390800000, 1, 4, 3.46241
1591394400000, 1, 4, 4.061476
1591398000000, 1, 4, 3.461869
1591401600000, 1, 4, 10.014811
