timestamp_transactions,amount_of_data,difficulty,mine_time(sec)
1591315200000, 1, 4, 4.730975
1591318800000, 1, 4, 5.246377
1591322400000, 1, 4, 5.17187
1591326000000, 1, 4, 5.454614
1591329600000, 1, 4, 6.396421
1591333200000, 1, 4, 7.844891
1591336800000, 1, 4, 7.197041
1591340400000, 1, 4, 3.920379
1591344000000, 1, 4, 2.743705
1591347600000, 1, 4, 1.810733
1591351200000, 1, 4, 1.866753
1591354800000, 1, 4, 1.839863
1591358400000, 1, 4, 1.806774
1591362000000, 1, 4, 1.930964
1591365600000, 1, 4, 1.915716
1591369200000, 1, 4, 2.735899
1591372800000, 1, 4, 1.712517
1591376400000, 1, 4, 2.71255
1591380000000, 1, 4, 2.679824
1591383600000, 1, 4, 1.684569
1591387200000, 1, 4, 2.702759
1591390800000, 1, 4, 1.657589
1591394400000, 1, 4, 2.696355
1591398000000, 1, 4, 1.712193
1591401600000, 1, 4, 2.776447
